	event_type	country	admin1	admin2	event_date	iso3
0	Battles	Ethiopia	Afar	Kilbati /Zone2	2022-01	ETH
3	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
4	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
5	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
6	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
7	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
8	Battles	Somalia	Lower Juba	Afmadow	2022-01	SOM
9	Battles	Kenya	Mandera	Mandera West	2022-01	KEN
10	Battles	Uganda	Northern	Napak	2022-01	UGA
11	Strategic developments	Ethiopia	Dire Dawa	Dire Dawa urban	2022-01	ETH
12	Protests	Kenya	Nairobi	Starehe	2022-01	KEN
16	Explosions/Remote violence	Ethiopia	Afar	Kilbati /Zone2	2022-01	ETH
17	Riots	South Sudan	Upper Nile	Malakal	2022-01	SSD
20	Protests	Kenya	Kiambu	Kiambu	2022-01	KEN
21	Violence against civilians	Ethiopia	Oromia	South West Shewa	2022-01	ETH
22	Protests	Kenya	Narok	Narok North	2022-01	KEN
23	Protests	Kenya	Kiambu	Thika Town	2022-01	KEN
24	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
25	Explosions/Remote violence	Somalia	Banadir	Banadir	2022-01	SOM
26	Riots	South Sudan	Central Equatoria	Juba	2022-01	SSD
27	Riots	Kenya	Kajiado	Kajiado East	2022-01	KEN
30	Riots	Kenya	Kiambu	Thika Town	2022-01	KEN
31	Battles	Ethiopia	Oromia	West Shewa	2022-01	ETH
32	Battles	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
33	Battles	Ethiopia	Oromia	Horo Gudru Wellega	2022-01	ETH
34	Battles	Ethiopia	Oromia	Guji	2022-01	ETH
35	Battles	Ethiopia	Oromia	Guji	2022-01	ETH
36	Battles	South Sudan	Western Bahr el Ghazal	Jur River	2022-01	SSD
37	Battles	Somalia	Hiraan	Belet Weyne	2022-01	SOM
38	Battles	Ethiopia	Amhara	Wag Hamra	2022-01	ETH
39	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
40	Battles	Ethiopia	Amhara	Wag Hamra	2022-01	ETH
41	Battles	Ethiopia	Tigray	Southern	2022-01	ETH
42	Battles	Ethiopia	Tigray	North Western	2022-01	ETH
43	Riots	Uganda	Eastern	Bukwo	2022-01	UGA
